Timestamp,Sector,Organisation_Size,Fleet_Size,Monthly_Fuel_Spend NGN,Fuel_Theft_Incidents,Fuel_pct_of_Budget,Monthly_Fuel_Transactions,Payment_Method,Digital_Tracking_Usage,Satisfaction_1_5,Hours_Week_on_Reconciliation,Smart_Card_Adoption,Cost_Savings_pct,Fuel_Spend_Trend,Digital_Tool_Start_Date,Role,State,Years_Managing_Fleet,Adoption_Barrier,Annual_Fuel_Spend_NGN
4/29/2026 01:04:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,100 +,"£11,365,223.00",3,46,187,MIX OF CASH AND CARD,PLANNING TO,5,2,ALREADY USING IT,11,STAYED THE SAME,not applicable ,Fleet Manager,Kaduna,6,TRUST AND SECURITY,136113228
4/29/2026 02:41:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,100 +,"£16,864,824.00",2,43,215,FUEL CARD ONLY,NO,1,18,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Kano,8,NO PERCEIVED NEED,202598282
4/29/2026 03:09:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,6 - 20,"£10,733,559.00",1,53,87,MIX OF CASH AND CARD,YES,4,6,YES I WOULD,0,INCREASED,Oct 2023,Finance Manager,Delta,2,NO PERCEIVED NEED,128500755
4/29/2026 03:26:00,CONSTRUCTION,51 - 200 EMPLOYEES,21 - 50,"£6,483,403.00",1,49,127,FUEL CARD ONLY,NO,5,22,NO I WOULD NOT,0,INCREASED,not applicable ,OPERATIONS MANAGER,Lagos,5,NO PERCEIVED NEED,77356588
4/29/2026 06:31:00,Other,200 +,51 - 100,"£16,150,194.00",3,58,393,MIX OF CASH AND CARD,YES,2,12,YES I WOULD,0,STAYED THE SAME,Oct 2023,Finance Manager,Rivers,1,TRUST AND SECURITY,194090998
4/29/2026 07:46:00,CONSTRUCTION,1 - 10 EMPLOYEES,51 - 100,"£20,026,222.00",2,25,355,MIX OF CASH AND CARD,YES,1,24,NOT SURE,0,STAYED THE SAME,Jun 2022,OPERATIONS MANAGER,Kano,10,NO PERCEIVED NEED,240403214
4/29/2026 08:22:00,PUBLIC SECTOR,11 - 50 EMPLOYEES,21 - 50,"£7,666,744.00",0,32,96,CASH ONLY,YES,3,11,YES I WOULD,0,STAYED THE SAME,Mar 2025,Fleet Manager,Lagos,6,NO PERCEIVED NEED,91787213
4/29/2026 12:49:00,CONSTRUCTION,11 - 50 EMPLOYEES,51 - 100,"£23,174,004.00",1,62,372,COMPANY ACCOUNT/ CREDIT,YES,3,11,YES I WOULD,0,INCREASED,Feb 2025,CEO/DIRECTOR,Lagos,1,COST,278156865
4/29/2026 12:55:00,OIL AND GAS,200 +,100 +,"£18,893,882.00",1,47,176,MIX OF CASH AND CARD,NO,2,14,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Kaduna,2,NO PERCEIVED NEED,226637848
4/29/2026 14:20:00,OIL AND GAS,200 +,21 - 50,"£6,741,688.00",0,63,25,MIX OF CASH AND CARD,NO,3,2,NOT SURE,0,INCREASED,not applicable ,OPERATIONS MANAGER,Delta,2,COST,80826606
4/29/2026 14:23:00,OIL AND GAS,11 - 50 EMPLOYEES,6 - 20,"£2,799,407.00",3,27,69,CASH ONLY,YES,4,6,YES I WOULD,0,DECREASED,Feb 2023,CEO/DIRECTOR,Oyo,13,NO PERCEIVED NEED,33139552
4/29/2026 14:38:00,OIL AND GAS,51 - 200 EMPLOYEES,51 - 100,"£11,207,777.00",1,35,204,MIX OF CASH AND CARD,NO,5,22,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Rivers,10,LACK OF AWARENESS,134796158
4/29/2026 16:35:00,OIL AND GAS,51 - 200 EMPLOYEES,51 - 100,"£17,795,728.00",3,32,330,FUEL CARD ONLY,NO,1,16,ALREADY USING IT,13,INCREASED,not applicable ,Fleet Manager,Kaduna,8,LACK OF AWARENESS,213516646
